Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
0	0.11734290677401682	0.3339282332538792	0	0	0	0	0	0	0	0.08549253779796581	0.03965772518018932	0.33542914920955963	0	0	0	0.042878323842508906	0	0	0	0.045271123941880216	0	0	0	0	0	0	0	0	0
0	0.12147951948472178	0.2084851070080346	0	0	0	0.08303455643518183	0	0.010123495029772691	0	0	0.026383854757942	0.3975422143693984	0	0	0	0	0	0	0.05328822024838113	0	0	0	0.042796324819301054	0	0	0	0	0	0.056866707847266454
0	0.023589260467332042	0.2067550042173785	0	0	0	0	0	0.022817763706143534	0	0.027891931841466877	0.0850141295600507	0.40153625442442586	0.021652339465904117	0	0.018603060725969654	0.040937403578463934	0	0	0	0	0.025798462128222885	0	0	0.02013815295971369	0.10526623692492817	0	0	0	0
0.09186361365733485	0.018625253343590834	0.2408115404614227	0	0	0	0	0	0	0	0.0456913449866671	0	0.42775807185682185	0	0	0	0.006507786513531127	0	0	0	0.05082909088860252	0	0	0.0425442421009004	0	0	0	0.07536905619112866	0	0
0.025676053081062137	0.12781910785245282	0.2719583193566659	0	0	0	0	0	0	0	0	0	0.21369678557714822	0	0	0.1745414265043609	0.013203112704284295	0	0.12608276605285565	0	0	0.04702242887117004	0	0	0	0	0	0	0	0
0.03584736599120869	0.10257599305665369	0.22050969119300146	0	0	0	0.03836363551345352	0.14806099757290797	0.026395614865201634	0.015501793745902177	0	0	0.2675374239961789	0	0	0.05399016325165259	0	0	0	0	0	0	0.029111667344126017	0.013699846267787773	0	0	0	0.028460045031009087	0.019945762170916547	0
0	0.0873657544959662	0.0031232857922699076	0	0	0	0.008246420868527176	0.05772176258581439	0.13083188995969136	0	0	0.10153601503546472	0.36043767251732955	0	0	0	0	0.08003067389580958	0	0.09170378386615086	0	0	0.029829251046990902	0	0	0	0.04917348993598526	0	0	0
0.010460463424402483	0.07868329020854055	0.24609820991477827	0.017441030174121016	0	0	0	0	0	0	0	0	0.33001073160186567	0	0	0.09248259417508799	0	0	0	0	0	0.07302168439527366	0	0	0	0.06872135128100708	0.01780076194902328	0.044017334765490135	0.021262548110409844	0
0	0	0.2807271779963693	0	0	0	0.0579960413182628	0	0.17816846748119744	0	0.020044185783560087	0	0.38305406947554027	0.022940958402811046	0	0	0	0	0	0	0	0	0	0	0	0	0.05706909954225908	0	0	0
0	0.10079659233958027	0.27966315757663607	0	0	0	0.09771696800364853	0	0	0	0	0	0.23004149475953936	0	0	0	0	0	0	0	0.075888799196842	0	0	0.13029832188421184	0	0	0.033336915957259565	0.05225775028228231	0	0
0	0.028590901718777727	0.24456013212729644	0	0	0	0	0	0.11961440143403784	0.04321431350886336	0.11008501676718278	0	0.32346946903438845	0	0	0	0	0	0	0	0	0	0	0	0.03160071432744438	0	0.0429627005307881	0	0.055902350551220975	0
0.04371371538626075	0.09327609405058625	0.42437233414290687	0	0	0	0.016993417229580723	0	0	0.006634225495185205	0	0	0.31669225215899527	0	0	0.0859314111178645	0	0	0	0	0	0.012386550418620416	0	0	0	0	0	0	0	0
0	0.08793396092794116	0.5480831078961678	0	0	0	0	0	0	0	0	0	0.2703398495967055	0	0	0	0.053329109644355895	0	0	0	0	0	0	0.04031397193482959	0	0	0	0	0	0
0	0.15729269651125005	0.5395958549983642	0	0	0.06125513322744172	0	0	0	0	0	0	0.1588550532947038	0	0	0	0.05436517596045814	0	0	0	0	0.028636086007782047	0	0	0	0	0	0	0	0
0	0.03058105830446208	0.2716984758635254	0	0	0	0.17329303411898747	0	0	0	0	0	0.17437714944907565	0	0.08694915598266367	0.1498502510554672	0.03599090736654992	0.03418936266222215	0	0	0	0	0	0.0178822392353175	0	0	0.02518836596172893	0	0	0
0	0.1077522784128882	0.38241997609627076	0	0	0	0	0	0	0	0	0	0.3867114176335275	0	0	0	0.014296822764162083	0	0	0	0.06951584123049712	0	0.02294122156565572	0	0	0	0	0.0163624422969986	0	0
0.08849835094149368	0.07391171401773182	0.3018990089551364	0.10484426358624352	0	0	0	0	0	0.017976961141913772	0	0	0.26364995423104115	0	0	0	0.10346287420680136	0	0	0	0	0	0.04575687291963832	0	0	0	0	0	0	0
0	0	0.3955453185872616	0	0	0	0.06865103899107969	0	0	0	0	0	0.37809515693257983	0.053103792942735664	0	0	0.056933505209529285	0	0	0	0	0.03434960906423741	0	0	0	0	0.013321578272576559	0	0	0
0	0.1528625070022905	0.5073414077342964	0	0	0	0	0	0	0	0	0	0.29965304959834366	0	0	0	0	0	0	0	0.007185694091653421	0	0.03295734157341598	0	0	0	0	0	0	0
0	0.03644104738675403	0.3221677573323604	0.02158991731186242	0	0	0.0711487055660289	0	0	0	0	0	0.3319982821412899	0	0	0.11208074863261283	0	0.05451904997162494	0	0	0.013582883602412017	0	0	0.01896200767231461	0	0	0	0.017509600382739937	0	0
0	0.08141785415146721	0.2578215805910255	0	0	0	0	0.015092317063110863	0.01692391351742902	0	0	0	0.39828917646035367	0	0.016484277569405303	0	0	0	0	0	0.031786963964350635	0	0	0.08216481817244424	0	0	0	0.10001909851041346	0	0
0.0321300018441195	0	0.2561354094064851	0	0	0	0.12709120942289773	0	0	0	0.022023887117924894	0	0.4503073405572547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01617334091474389	0.0449454778008789	0.007146537678990722	0.04404679525670446
0	0.10215322984170135	0.36116960074936594	0	0	0.09298911228789454	0	0.11343818243231238	0	0	0	0	0.276987937110797	0	0.011046637197862112	0	0	0	0	0	0	0	0	0	0	0	0.042215300380066684	0	0	0
